Bin	Rank	Count	Hamming_distance	Match
(0.0, 0.05)	Species	589680	0	False
(0.0, 0.05)	Species	184709	5	False
(0.0, 0.05)	Species	95261	4	False
(0.0, 0.05)	Species	82793	1	False
(0.0, 0.05)	Species	76852	3	False
(0.0, 0.05)	Species	68921	2	False
(0.0, 0.05)	Class	16647	1	True
(0.0, 0.05)	Class	15383	0	True
(0.0, 0.05)	Class	10771	2	True
(0.0, 0.05)	Genus	6914	2	False
(0.0, 0.05)	Genus	5965	1	False
(0.0, 0.05)	Genus	5443	3	False
(0.0, 0.05)	Genus	5113	5	False
(0.0, 0.05)	Class	5068	3	True
(0.0, 0.05)	Family	4767	0	True
(0.0, 0.05)	Genus	4326	4	False
(0.0, 0.05)	Order	3567	0	True
(0.0, 0.05)	Kingdom	3395	1	True
(0.0, 0.05)	Family	3152	2	False
(0.0, 0.05)	Family	2957	1	False
(0.0, 0.05)	Class	2249	4	True
(0.0, 0.05)	Family	2201	3	False
(0.0, 0.05)	Kingdom	2150	2	True
(0.0, 0.05)	Kingdom	2125	0	True
(0.0, 0.05)	Class	1520	5	True
(0.0, 0.05)	Family	1496	5	False
(0.0, 0.05)	Family	1478	4	False
(0.0, 0.05)	Order	1046	1	True
(0.0, 0.05)	Order	1041	2	False
(0.0, 0.05)	Kingdom	1020	3	True
(0.0, 0.05)	Order	995	1	False
(0.0, 0.05)	Family	882	1	True
(0.0, 0.05)	Order	748	3	False
(0.0, 0.05)	Kingdom	641	4	True
(0.0, 0.05)	Kingdom	590	5	True
(0.0, 0.05)	Phylum	546	2	False
(0.0, 0.05)	Order	516	5	False
(0.0, 0.05)	Order	507	2	True
(0.0, 0.05)	Order	491	4	False
(0.0, 0.05)	Family	476	2	True
(0.0, 0.05)	Phylum	442	1	False
(0.0, 0.05)	Genus	432	0	False
(0.0, 0.05)	Phylum	367	3	False
(0.0, 0.05)	Phylum	357	5	False
(0.0, 0.05)	Phylum	357	1	True
(0.0, 0.05)	Class	351	2	False
(0.0, 0.05)	Phylum	289	4	False
(0.0, 0.05)	Family	289	0	False
(0.0, 0.05)	Class	278	5	False
(0.0, 0.05)	Class	263	1	False
(0.0, 0.05)	Class	259	3	False
(0.0, 0.05)	Phylum	257	0	True
(0.0, 0.05)	Phylum	251	2	True
(0.0, 0.05)	Family	216	3	True
(0.0, 0.05)	Order	205	3	True
(0.0, 0.05)	Class	183	4	False
(0.0, 0.05)	Phylum	118	3	True
(0.0, 0.05)	Genus	118	0	True
(0.0, 0.05)	Order	92	4	True
(0.0, 0.05)	Family	77	4	True
(0.0, 0.05)	Order	66	0	False
(0.0, 0.05)	Phylum	35	5	True
(0.0, 0.05)	Phylum	33	4	True
(0.0, 0.05)	Family	31	5	True
(0.0, 0.05)	Phylum	30	0	False
(0.0, 0.05)	Order	18	5	True
(0.0, 0.05)	Class	12	0	False
(0.0, 0.05)	Kingdom	4	2	False
(0.0, 0.05)	Genus	3	1	True
(0.0, 0.05)	Genus	413825	0	False
(0.0, 0.05)	Species	350348	0	False
(0.0, 0.05)	Species	204912	1	False
(0.0, 0.05)	Species	129614	2	False
(0.0, 0.05)	Genus	92626	1	False
(0.0, 0.05)	Species	91842	3	False
(0.0, 0.05)	Species	70097	4	False
(0.0, 0.05)	Species	63064	5	False
(0.0, 0.05)	Genus	29486	2	False
(0.0, 0.05)	Genus	11465	3	False
(0.0, 0.05)	Class	5938	0	False
(0.0, 0.05)	Genus	5593	4	False
(0.0, 0.05)	Family	5030	0	False
(0.0, 0.05)	Genus	3871	5	False
(0.0, 0.05)	Phylum	2478	0	True
(0.0, 0.05)	Class	1844	1	False
(0.0, 0.05)	Kingdom	1831	0	True
(0.0, 0.05)	Family	1587	1	False
(0.0, 0.05)	Family	1330	2	False
(0.0, 0.05)	Kingdom	1308	1	True
(0.0, 0.05)	Family	1139	3	False
(0.0, 0.05)	Class	1094	2	False
(0.0, 0.05)	Family	931	4	False
(0.0, 0.05)	Phylum	828	1	True
(0.0, 0.05)	Family	826	5	False
(0.0, 0.05)	Kingdom	653	2	True
(0.0, 0.05)	Kingdom	632	5	True
(0.0, 0.05)	Class	627	3	False
(0.0, 0.05)	Phylum	492	2	True
(0.0, 0.05)	Kingdom	453	3	True
(0.0, 0.05)	Kingdom	448	4	True
(0.0, 0.05)	Class	407	4	False
(0.0, 0.05)	Order	362	2	False
(0.0, 0.05)	Class	309	5	False
(0.0, 0.05)	Order	300	3	False
(0.0, 0.05)	Phylum	273	3	True
(0.0, 0.05)	Order	272	4	False
(0.0, 0.05)	Order	253	1	False
(0.0, 0.05)	Order	250	5	False
(0.0, 0.05)	Phylum	182	5	False
(0.0, 0.05)	Phylum	157	4	True
(0.0, 0.05)	Order	147	0	False
(0.0, 0.05)	Phylum	105	4	False
(0.0, 0.05)	Phylum	91	2	False
(0.0, 0.05)	Phylum	87	1	False
(0.0, 0.05)	Phylum	82	3	False
(0.0, 0.05)	Class	79	1	True
(0.0, 0.05)	Phylum	75	5	True
(0.0, 0.05)	Class	74	2	True
(0.0, 0.05)	Class	40	3	True
(0.0, 0.05)	Class	22	4	True
(0.0, 0.05)	Family	15	4	True
(0.0, 0.05)	Class	12	5	True
(0.0, 0.05)	Family	12	1	True
(0.0, 0.05)	Family	9	5	True
(0.0, 0.05)	Family	9	3	True
(0.0, 0.05)	Family	9	2	True
(0.0, 0.05)	Class	9	0	True
(0.0, 0.05)	Order	6	5	True
(0.0, 0.05)	Order	6	3	True
(0.0, 0.05)	Kingdom	6	1	False
(0.0, 0.05)	Order	5	1	True
(0.0, 0.05)	Order	4	4	True
(0.0, 0.05)	Order	3	0	True
(0.0, 0.05)	Kingdom	2	2	False
(0.0, 0.05)	Order	1	2	True
(0.0, 0.05)	Species	1165470	0	True
(0.0, 0.05)	Species	93627	1	True
(0.0, 0.05)	Species	30642	5	False
(0.0, 0.05)	Species	16794	4	False
(0.0, 0.05)	Species	12185	2	True
(0.0, 0.05)	Species	11517	3	False
(0.0, 0.05)	Species	8040	2	False
(0.0, 0.05)	Species	6151	1	False
(0.0, 0.05)	Species	5497	0	False
