,Taxonomic_Rank,Distance_to_closest,Precision,Recall,F1,Method
0,class,0.0206378,0.9930528310132972,0.9171069712694201,0.9535651470071073,CONSULT-II h=14, b=10 (0.03)
1,family,0.0206378,0.9892707733591549,0.9134715887910757,0.9498563902070348,CONSULT-II h=14, b=10 (0.03)
2,genus,0.0206378,0.9890126155913922,0.9110592583355718,0.9484318674994661,CONSULT-II h=14, b=10 (0.03)
3,order,0.0206378,0.9930164855107587,0.9166213766732153,0.9532858450322814,CONSULT-II h=14, b=10 (0.03)
4,phylum,0.0206378,0.9938410400179487,0.9201526647075453,0.9555733659349306,CONSULT-II h=14, b=10 (0.03)
5,species,0.0206378,0.7302171511204725,0.6678510648985747,0.6976380811821002,CONSULT-II h=14, b=10 (0.03)
6,superkingdom,0.0206378,0.9998380748741295,0.926339319062313,0.96168142763999,CONSULT-II h=14, b=10 (0.03)
7,class,0.0718104,0.9785286796416245,0.7250354295407043,0.8329170509669104,CONSULT-II h=14, b=10 (0.03)
8,family,0.0718104,0.9271345550105083,0.6886661184161871,0.7902982270745247,CONSULT-II h=14, b=10 (0.03)
9,genus,0.0718104,0.9307323132941825,0.6848220196290913,0.7890567642959333,CONSULT-II h=14, b=10 (0.03)
10,order,0.0718104,0.940051473930227,0.7041472053063936,0.8051710547099787,CONSULT-II h=14, b=10 (0.03)
11,phylum,0.0718104,0.9885834060545424,0.7348500891394351,0.8430338518051409,CONSULT-II h=14, b=10 (0.03)
12,species,0.0718104,0.0,0.0,0.0,CONSULT-II h=14, b=10 (0.03)
13,superkingdom,0.0718104,0.9991966740306475,0.7467393097773065,0.8547107890131588,CONSULT-II h=14, b=10 (0.03)
14,class,0.0,0.9851576903046597,0.01593374442755041,0.03135996076631185,CONSULT-II h=14, b=10 (0.03)
15,family,0.0,0.9900497413925399,0.014927164436604232,0.02941060267445201,CONSULT-II h=14, b=10 (0.03)
16,genus,0.0,0.9491525193909802,0.005881823364360678,0.011691074885149776,CONSULT-II h=14, b=10 (0.03)
17,order,0.0,0.9841897135949633,0.014943511723013381,0.029439724255939274,CONSULT-II h=14, b=10 (0.03)
18,phylum,0.0,0.9999698175479944,0.9939548487221248,0.9969482606838433,CONSULT-II h=14, b=10 (0.03)
19,species,0.0,0.8936781352391341,0.004667567161238546,0.009286528054786136,CONSULT-II h=14, b=10 (0.03)
20,superkingdom,0.0,0.9999999998495833,0.9972250137253476,0.9986055790103293,CONSULT-II h=14, b=10 (0.03)
21,class,0.0,0.11491107913938332,0.001272341714439209,0.0025165996209750583,CONSULT-II h=14, b=10 (0.03)
22,family,0.0,0.10283159310236076,0.0010444259439878261,0.0020676503861369227,CONSULT-II h=14, b=10 (0.03)
23,genus,0.0,0.4657533927566169,0.0010211896858308145,0.002037867481976689,CONSULT-II h=14, b=10 (0.03)
24,order,0.0,0.12371133838422183,0.0012713403557828822,0.0025166148696265183,CONSULT-II h=14, b=10 (0.03)
25,phylum,0.0,0.9999849041422642,0.9936549364003157,0.9968048712669966,CONSULT-II h=14, b=10 (0.03)
26,species,0.0,0.6126125574222921,0.001020653217906362,0.002037877930436435,CONSULT-II h=14, b=10 (0.03)
27,superkingdom,0.0,0.9999999998495674,0.9971200142503607,0.9985529305158893,CONSULT-II h=14, b=10 (0.03)
28,class,0.185572,0.8865005538163282,0.28601194173933137,0.43248593645078537,CONSULT-II h=14, b=10 (0.03)
29,family,0.185572,0.15020653389021998,0.04520710504149501,0.0694941778038097,CONSULT-II h=14, b=10 (0.03)
30,genus,0.185572,0.12393099371576895,0.030684141349539253,0.04918626104555876,CONSULT-II h=14, b=10 (0.03)
31,order,0.185572,0.8873150614177467,0.2842844709243621,0.4306040294399129,CONSULT-II h=14, b=10 (0.03)
32,phylum,0.185572,0.9402735910316375,0.31014545950379396,0.4664344367637937,CONSULT-II h=14, b=10 (0.03)
33,species,0.185572,0.0,0.0,0.0,CONSULT-II h=14, b=10 (0.03)
34,superkingdom,0.185572,0.9973911474462976,0.33289795668259575,0.49918018281400206,CONSULT-II h=14, b=10 (0.03)
35,class,0.0,0.9992017314749233,0.977092246344353,0.9880183163273265,CONSULT-II h=14, b=10 (0.03)
36,family,0.0,0.9993437498438524,0.9599699810941883,0.9792562459138971,CONSULT-II h=14, b=10 (0.03)
37,genus,0.0,0.999374794698358,0.9596559951731796,0.9791077532593224,CONSULT-II h=14, b=10 (0.03)
38,order,0.0,0.9989847555605733,0.960316506867614,0.9792640600503758,CONSULT-II h=14, b=10 (0.03)
39,phylum,0.0,0.9999097226986985,0.9969247384532297,0.9984099995481802,CONSULT-II h=14, b=10 (0.03)
40,species,0.0,0.9978518257817768,0.9005680962907558,0.9467123423165429,CONSULT-II h=14, b=10 (0.03)
41,superkingdom,0.0,0.9999999998496601,0.9977350111752838,0.9988612215463835,CONSULT-II h=14, b=10 (0.03)
42,class,0.0500108,0.906741278464826,0.7854386873767202,0.8417372681837427,CONSULT-II h=14, b=10 (0.03)
43,family,0.0500108,0.9126821879779136,0.7770167917012575,0.8393982562371586,CONSULT-II h=14, b=10 (0.03)
44,genus,0.0500108,0.8898925221263257,0.766936556559159,0.8238471863770732,CONSULT-II h=14, b=10 (0.03)
45,order,0.0500108,0.9078020859080841,0.7805892826970067,0.8393982523898094,CONSULT-II h=14, b=10 (0.03)
46,phylum,0.0500108,0.9823917826517989,0.8151338516725564,0.8909762703485111,CONSULT-II h=14, b=10 (0.03)
47,species,0.0500108,0.0,0.0,0.0,CONSULT-II h=14, b=10 (0.03)
48,superkingdom,0.0500108,0.9997839159794388,0.8329757706349147,0.9087838848096361,CONSULT-II h=14, b=10 (0.03)
49,class,0.10982,0.6593812684411559,0.09843791868059489,0.1713001314421268,CONSULT-II h=14, b=10 (0.03)
50,family,0.10982,0.0,0.0,0.0,CONSULT-II h=14, b=10 (0.03)
51,genus,0.10982,0.0,0.0,0.0,CONSULT-II h=14, b=10 (0.03)
52,order,0.10982,0.5382206234332205,0.07401971730944394,0.13013937517230198,CONSULT-II h=14, b=10 (0.03)
53,phylum,0.10982,0.8087544057885288,0.1276230799938772,0.22045516368495102,CONSULT-II h=14, b=10 (0.03)
54,species,0.10982,0.0,0.0,0.0,CONSULT-II h=14, b=10 (0.03)
55,superkingdom,0.10982,0.9960401258394579,0.16989883219208388,0.29028038153965596,CONSULT-II h=14, b=10 (0.03)
56,class,0.0194801,0.9894542900527366,0.8535252624869788,0.9164720781757444,CONSULT-II h=14, b=10 (0.03)
57,family,0.0194801,0.9897799706762814,0.8529166980626591,0.9162607144364426,CONSULT-II h=14, b=10 (0.03)
58,genus,0.0194801,0.9725497913546964,0.8344310870320066,0.8982068357947525,CONSULT-II h=14, b=10 (0.03)
59,order,0.0194801,0.989592291452763,0.853346248016868,0.916428050910909,CONSULT-II h=14, b=10 (0.03)
60,phylum,0.0194801,0.9946027141893411,0.8581030168392503,0.9213195260435875,CONSULT-II h=14, b=10 (0.03)
61,species,0.0194801,0.9773749143956377,0.8308336771956712,0.8981613151223117,CONSULT-II h=14, b=10 (0.03)
62,superkingdom,0.0194801,0.9998432381732315,0.8611569502743621,0.9253275012491413,CONSULT-II h=14, b=10 (0.03)
63,class,0.00166259,0.9984562658621049,0.9716225756047857,0.9848516759714655,CONSULT-II h=14, b=10 (0.03)
64,family,0.00166259,0.9975753643134458,0.9712073370964956,0.984209777326063,CONSULT-II h=14, b=10 (0.03)
65,genus,0.00166259,0.9963235867717457,0.9586644988923012,0.9771263297403046,CONSULT-II h=14, b=10 (0.03)
66,order,0.00166259,0.9984251966962443,0.9715015397023208,0.9847743817817157,CONSULT-II h=14, b=10 (0.03)
67,phylum,0.00166259,0.9991248405522524,0.9769403991927728,0.9879030928989102,CONSULT-II h=14, b=10 (0.03)
68,species,0.00166259,0.9927691567760727,0.9372196630767621,0.9641899933364929,CONSULT-II h=14, b=10 (0.03)
69,superkingdom,0.00166259,0.9999540270626526,0.9788341532193036,0.9892763831010172,CONSULT-II h=14, b=10 (0.03)
70,class,0.0,0.9996974005205166,0.9914024635780451,0.9955276537764641,CONSULT-II h=14, b=10 (0.03)
71,family,0.0,0.9624889101983413,0.11443250815650924,0.20454416723225372,CONSULT-II h=14, b=10 (0.03)
72,genus,0.0,0.9626108986532181,0.11443078404832899,0.2045441674443355,CONSULT-II h=14, b=10 (0.03)
73,order,0.0,0.9996973226690531,0.9911473883308854,0.9953989962302587,CONSULT-II h=14, b=10 (0.03)
74,phylum,0.0,0.9996375004154187,0.9930975494811011,0.9963517933049356,CONSULT-II h=14, b=10 (0.03)
75,species,0.0,0.9821544019369528,0.11416074191493021,0.20454420083114563,CONSULT-II h=14, b=10 (0.03)
76,superkingdom,0.0,0.9999999998497618,0.9984100078001994,0.9991993713316338,CONSULT-II h=14, b=10 (0.03)
77,class,0.0,0.9997135403380654,0.9948985714507714,0.997295244311049,CONSULT-II h=14, b=10 (0.03)
78,family,0.0,0.9997587598757978,0.9948537904915374,0.9972952443121484,CONSULT-II h=14, b=10 (0.03)
79,genus,0.0,0.9997587562384453,0.994838786965711,0.9972877037423311,CONSULT-II h=14, b=10 (0.03)
80,order,0.0,0.9997286130627915,0.9948836440164318,0.9972952443114133,CONSULT-II h=14, b=10 (0.03)
81,phylum,0.0,0.9995779126280088,0.9950479447478131,0.9973027847642919,CONSULT-II h=14, b=10 (0.03)
82,species,0.0,0.9997738203230184,0.9947788511980467,0.9972650813527578,CONSULT-II h=14, b=10 (0.03)
83,superkingdom,0.0,0.9999849538841182,0.9969399692501515,0.9984551400514675,CONSULT-II h=14, b=10 (0.03)
84,class,0.0,0.9995454543940082,0.9899905456443131,0.994740056045708,CONSULT-II h=14, b=10 (0.03)
85,family,0.0,0.9993287872409609,0.9832790476287049,0.9912339543246735,CONSULT-II h=14, b=10 (0.03)
86,genus,0.0,0.999190147148831,0.981640495844471,0.9903325792103157,CONSULT-II h=14, b=10 (0.03)
87,order,0.0,0.9994062117844996,0.9851864079688439,0.9922403670031354,CONSULT-II h=14, b=10 (0.03)
88,phylum,0.0,0.9996070487864451,0.9924821054617304,0.9960268356103754,CONSULT-II h=14, b=10 (0.03)
89,species,0.0,0.9992203621494733,0.9812057161971289,0.990126105862669,CONSULT-II h=14, b=10 (0.03)
90,superkingdom,0.0,0.9999246702824972,0.9956196932291831,0.9977625382523184,CONSULT-II h=14, b=10 (0.03)
91,class,0.0321309,0.9808055090787733,0.8160898519001981,0.8908932434938198,CONSULT-II h=14, b=10 (0.03)
92,family,0.0321309,0.9815965537564665,0.8155429997387351,0.8908932441674956,CONSULT-II h=14, b=10 (0.03)
93,genus,0.0321309,0.9812318652475057,0.8139538425144407,0.8897942922463008,CONSULT-II h=14, b=10 (0.03)
94,order,0.0321309,0.9808055090787733,0.8160898519001981,0.8908932434938198,CONSULT-II h=14, b=10 (0.03)
95,phylum,0.0321309,0.9707650912853671,0.8264666091460972,0.8928180701342611,CONSULT-II h=14, b=10 (0.03)
96,species,0.0321309,0.9821454837852777,0.813032756817305,0.8896186285284218,CONSULT-II h=14, b=10 (0.03)
