,Taxonomic_Rank,Distance_to_closest,Precision,Recall,F1,Method
0,class,"[0.0, 0.001)",0.99972282136342,0.850366191619384,0.9190108013810382,(0.00)
1,family,"[0.0, 0.001)",0.9998062979137902,0.7798792752143452,0.8762489750999736,(0.00)
2,genus,"[0.0, 0.001)",0.9999999999862359,0.7784136079236202,0.8753972950547582,(0.00)
3,order,"[0.0, 0.001)",0.9998201841845693,0.8460762797863892,0.9165406356186114,(0.00)
4,phylum,"[0.0, 0.001)",0.9998469576805701,0.9941169914895251,0.9969687416759455,(0.00)
5,species,"[0.0, 0.001)",0.9999984757618067,0.7029304527656899,0.8255485496946834,(0.00)
6,superkingdom,"[0.0, 0.001)",0.9999978571428572,0.9999999999892858,0.9999939285899233,(0.00)
7,class,"[0.001, 0.02)",0.9838232179867904,0.985006561347899,0.9844095340768276,(0.00)
8,family,"[0.001, 0.02)",0.979621810156902,0.9649092302486287,0.9722048618486706,(0.00)
9,genus,"[0.001, 0.02)",0.8744672983744067,0.8544414932165606,0.8643334178865817,(0.00)
10,order,"[0.001, 0.02)",0.9813593153489134,0.9716213363418603,0.9764610481728184,(0.00)
11,phylum,"[0.001, 0.02)",0.9850971110932132,0.9873848512895079,0.9862346545306426,(0.00)
12,species,"[0.001, 0.02)",0.5933845245033529,0.8284185665851185,0.6914702928308768,(0.00)
13,superkingdom,"[0.001, 0.02)",0.9993984615310748,0.992899430876657,0.9961333461104747,(0.00)
14,class,"[0.02, 0.06)",0.7608296561244774,0.9178264657936244,0.8319815182232844,(0.00)
15,family,"[0.02, 0.06)",0.6789081164983783,0.8323234625214366,0.7478237260046007,(0.00)
16,genus,"[0.02, 0.06)",0.5990688598214522,0.8540486835384339,0.7041831577927347,(0.00)
17,order,"[0.02, 0.06)",0.7188709193910686,0.9312579437463001,0.8113914157967551,(0.00)
18,phylum,"[0.02, 0.06)",0.8542706059118697,0.9365711021673572,0.8935247506184473,(0.00)
19,species,"[0.02, 0.06)",0.41286352673406046,0.756701768046129,0.5342359094548745,(0.00)
20,superkingdom,"[0.02, 0.06)",0.9973479326152933,0.9670807266481307,0.9819761577653524,(0.00)
21,class,"[0.06, 0.12)",0.8177511716310331,0.8007028236588937,0.8091322069330832,(0.00)
22,family,"[0.06, 0.12)",0.6931601948493393,0.7335845259413765,0.7127946878748376,(0.00)
23,genus,"[0.06, 0.12)",0.6365695458225433,0.7014737452496242,0.6674425098004679,(0.00)
24,order,"[0.06, 0.12)",0.7866302888645987,0.7614856891804255,0.7738487902679392,(0.00)
25,phylum,"[0.06, 0.12)",0.8676391631560361,0.850792657290382,0.8591283340613324,(0.00)
26,species,"[0.06, 0.12)",0.10987249522298322,0.6878409642028847,0.18947619544232985,(0.00)
27,superkingdom,"[0.06, 0.12)",0.9945841405200689,0.9163320067442884,0.9538508671970348,(0.00)
28,class,"[0.12, 0.16)",0.5146005509560634,0.6618128660772977,0.578990966317242,(0.00)
29,family,"[0.12, 0.16)",0.3806344306383555,0.507802797855308,0.4351124583188402,(0.00)
30,genus,"[0.12, 0.16)",0.30419768410552134,0.5097302967760253,0.3810088223914762,(0.00)
31,order,"[0.12, 0.16)",0.48415838647665915,0.6037144834743338,0.5373619500501747,(0.00)
32,phylum,"[0.12, 0.16)",0.7589858998744591,0.7985048199140294,0.7782389973840215,(0.00)
33,species,"[0.12, 0.16)",0.0,0.0,0.0,(0.00)
