,Taxonomic_Rank,Distance_to_closest,Precision,Recall,F1,Method
0,class,"[0.0, 0.001)",0.9999000775582128,0.81489871010697,0.8979648864124564,CLARK
1,family,"[0.0, 0.001)",0.9998514311126908,0.8148913713111534,0.8979408134469946,CLARK
2,genus,"[0.0, 0.001)",0.9998211914303394,0.8148868090636874,0.8979258486410822,CLARK
3,order,"[0.0, 0.001)",0.9998935037142233,0.8148977184118106,0.8979616333704727,CLARK
4,phylum,"[0.0, 0.001)",0.9999723898420967,0.8149096180524419,0.8980006686067932,CLARK
5,species,"[0.0, 0.001)",0.999801469898371,0.8148838335637457,0.8979160887660946,CLARK
6,superkingdom,"[0.0, 0.001)",0.9999999999868524,0.8149137825652132,0.8980143302862044,CLARK
7,class,"[0.001, 0.02)",0.9986866270052178,0.8730354841408959,0.9316385157047467,CLARK
8,family,"[0.001, 0.02)",0.9899990005092639,0.872063862819929,0.9272916968763629,CLARK
9,genus,"[0.001, 0.02)",0.880651720333065,0.8584274349327549,0.8693925726183714,CLARK
10,order,"[0.001, 0.02)",0.9967126633361749,0.872816014604492,0.9306539466486696,CLARK
11,phylum,"[0.001, 0.02)",0.9989942779884469,0.8730696212346363,0.9317918018737451,CLARK
12,species,"[0.001, 0.02)",0.5925201768978705,0.8279964820902214,0.6907362405833246,CLARK
13,superkingdom,"[0.001, 0.02)",0.9999937532639116,0.8731803968882734,0.9322894839675386,CLARK
14,class,"[0.02, 0.06)",0.8116528144725796,0.6615191625477764,0.7289308428758052,CLARK
15,family,"[0.02, 0.06)",0.7370704143493533,0.6814827900261633,0.7081824776889819,CLARK
16,genus,"[0.02, 0.06)",0.640524436790531,0.747556898996175,0.689909157061373,CLARK
17,order,"[0.02, 0.06)",0.7660839197817958,0.6898039221823306,0.7259406221433463,CLARK
18,phylum,"[0.02, 0.06)",0.9016813680062118,0.6846576369178974,0.7783193140422004,CLARK
19,species,"[0.02, 0.06)",0.4265480651100824,0.7554881525855108,0.5452443481053942,CLARK
20,superkingdom,"[0.02, 0.06)",0.999886776546475,0.7065404905279579,0.8279946848380099,CLARK
21,class,"[0.06, 0.12)",0.955425203374119,0.34422814897856807,0.5061068293563705,CLARK
22,family,"[0.06, 0.12)",0.8295210028108257,0.33494231905361416,0.47719717260724326,CLARK
23,genus,"[0.06, 0.12)",0.7689899744562391,0.3401849384410954,0.4716955740749939,CLARK
24,order,"[0.06, 0.12)",0.9234506972483127,0.336585596500049,0.49334727670534617,CLARK
25,phylum,"[0.06, 0.12)",0.9841368321328801,0.35094229569831514,0.5173815469698717,CLARK
26,species,"[0.06, 0.12)",0.1587557636131712,0.4785846666146443,0.23841852330688823,CLARK
