sample	rank	portion
S001	class	0.074124809443426
S001	family	0.158204496312780
S001	genus	0.188516420265183
S001	kingdom	0.006630130756319
S001	order	0.117457039475005
S001	phylum	0.049502776841861
S001	species	0.247549401296344
S002	class	0.072644666456868
S002	family	0.152885737138157
S002	genus	0.196437467734160
S002	kingdom	0.006679619752167
S002	order	0.115126702307113
S002	phylum	0.048052843538188
S002	species	0.261334506099889
S003	class	0.076428706275982
S003	family	0.157546164687030
S003	genus	0.201104283521682
S003	kingdom	0.006610104807649
S003	order	0.121752312605434
S003	phylum	0.050126138602917
S003	species	0.265329091053965
S004	class	0.078700059756152
S004	family	0.161375837553378
S004	genus	0.208716243615160
S004	kingdom	0.006523273048417
S004	order	0.126135487017047
S004	phylum	0.052407902353100
S004	species	0.271589426677213
S005	class	0.075208178064740
S005	family	0.153995910490092
S005	genus	0.199688744179898
S005	kingdom	0.006650777103941
S005	order	0.120328794579770
S005	phylum	0.050094083527328
S005	species	0.266361200073278
