,Genome,Rank,Count,Hamming_distance,Match
0,G001896795,Species,589680,0,False
1,G001896795,Species,184709,5,False
2,G001896795,Species,95261,4,False
3,G001896795,Species,82793,1,False
4,G001896795,Species,76852,3,False
5,G001896795,Species,68921,2,False
6,G001896795,Class,16647,1,True
7,G001896795,Class,15383,0,True
8,G001896795,Class,10771,2,True
9,G001896795,Genus,6914,2,False
10,G001896795,Genus,5965,1,False
11,G001896795,Genus,5443,3,False
12,G001896795,Genus,5113,5,False
13,G001896795,Class,5068,3,True
14,G001896795,Family,4767,0,True
15,G001896795,Genus,4326,4,False
16,G001896795,Order,3567,0,True
17,G001896795,Kingdom,3395,1,True
18,G001896795,Family,3152,2,False
19,G001896795,Family,2957,1,False
20,G001896795,Class,2249,4,True
21,G001896795,Family,2201,3,False
22,G001896795,Kingdom,2150,2,True
23,G001896795,Kingdom,2125,0,True
24,G001896795,Class,1520,5,True
25,G001896795,Family,1496,5,False
26,G001896795,Family,1478,4,False
27,G001896795,Order,1046,1,True
28,G001896795,Order,1041,2,False
29,G001896795,Kingdom,1020,3,True
30,G001896795,Order,995,1,False
31,G001896795,Family,882,1,True
32,G001896795,Order,748,3,False
33,G001896795,Kingdom,641,4,True
34,G001896795,Kingdom,590,5,True
35,G001896795,Phylum,546,2,False
36,G001896795,Order,516,5,False
37,G001896795,Order,507,2,True
38,G001896795,Order,491,4,False
39,G001896795,Family,476,2,True
40,G001896795,Phylum,442,1,False
41,G001896795,Genus,432,0,False
42,G001896795,Phylum,367,3,False
43,G001896795,Phylum,357,5,False
44,G001896795,Phylum,357,1,True
45,G001896795,Class,351,2,False
46,G001896795,Phylum,289,4,False
47,G001896795,Family,289,0,False
48,G001896795,Class,278,5,False
49,G001896795,Class,263,1,False
50,G001896795,Class,259,3,False
51,G001896795,Phylum,257,0,True
52,G001896795,Phylum,251,2,True
53,G001896795,Family,216,3,True
54,G001896795,Order,205,3,True
55,G001896795,Class,183,4,False
56,G001896795,Phylum,118,3,True
57,G001896795,Genus,118,0,True
58,G001896795,Order,92,4,True
59,G001896795,Family,77,4,True
60,G001896795,Order,66,0,False
61,G001896795,Phylum,35,5,True
62,G001896795,Phylum,33,4,True
63,G001896795,Family,31,5,True
64,G001896795,Phylum,30,0,False
65,G001896795,Order,18,5,True
66,G001896795,Class,12,0,False
67,G001896795,Kingdom,4,2,False
68,G001896795,Genus,3,1,True
69,G900322255,Genus,413825,0,False
70,G900322255,Species,350348,0,False
